Distance (nm)	Force (pN)	ForceErr (pN)
199.997	0.498954	0.0183926
206.998	0.532135	0.0129636
210.498	0.576928	0.0182787
213.998	0.578232	0.0182371
220.998	0.62536	0.0165483
224.498	0.667347	0.0165689
227.997	0.705275	0.0148191
238.498	0.852652	0.0143554
245.497	0.921204	0.0161139
248.998	0.908038	0.0185036
255.998	1.07001	0.0140855
259.498	1.11848	0.0139005
262.997	1.18877	0.0178574
266.498	1.25776	0.01545
269.998	1.31136	0.0161476
273.498	1.42832	0.0164185
276.998	1.4833	0.0149485
280.498	1.59596	0.0159255
283.998	1.65443	0.0122968
287.498	1.76403	0.0142552
290.998	1.88451	0.0137566
294.498	2.00029	0.013027
297.998	2.09099	0.0145403
308.498	2.48727	0.0136095
311.998	2.66561	0.014316
315.498	2.86864	0.0103239
318.998	2.9925	0.0109656
322.497	3.21962	0.0121269
325.997	3.42945	0.0153801
329.498	3.61828	0.0173764
332.998	3.81139	0.0101692
336.498	4.0632	0.0110001
339.998	4.2726	0.0128317
343.497	4.55279	0.0127372
346.998	4.79211	0.0101177
350.498	5.08165	0.0143663
353.998	5.34787	0.0119696
357.498	5.61457	0.0139746
360.998	5.92933	0.0147413
416.998	9.04068	0.0113606
420.497	9.05002	0.024149
423.997	9.08063	0.021304
441.498	8.71433	0.044337
444.998	8.54033	0.0152012
448.498	8.57359	0.0109954
451.998	8.79634	0.012857
455.498	9.08693	0.0117906
458.998	9.37493	0.0108971
462.498	9.67749	0.0116081
465.998	9.99766	0.0107968
469.498	10.3081	0.0118518
472.998	10.6394	0.0125579
476.498	10.9856	0.0134653
479.998	11.3099	0.0157598
483.498	11.6692	0.0145699
486.998	12.0082	0.0100933
490.498	12.3729	0.0124427
493.998	12.7264	0.0127098
497.498	13.0908	0.0119399
500.998	13.4596	0.0105136
504.498	13.8498	0.0111816
507.998	14.2232	0.0125482
511.498	14.6212	0.0115653
514.998	15.0057	0.01289
518.498	15.4142	0.0116255
521.997	15.8287	0.012166
525.498	16.2021	0.0141246
528.998	16.6284	0.0126623
532.498	17.0354	0.0111325
535.998	17.454	0.0140485
539.497	17.8558	0.0117363
542.997	18.2804	0.0135771
546.498	18.6934	0.0119992
