Distance (nm)	Force (pN)	ForceErr (pN)
250	0.661706	0
253.3	0.69389	0
256.6	0.737641	0
263.2	0.76745	0
266.5	0.795835	0
276.4	0.998863	0
279.7	1.04151	0
283	1.0402	0
289.6	1.17591	0
292.9	1.25354	0
296.2	1.32579	0
299.5	1.40678	0
302.8	1.56805	0
306.1	1.63372	0
309.4	1.75735	0
312.7	1.89619	0
316	2.09897	0
319.3	2.2344	0
322.6	2.42022	0
325.9	2.58717	0
329.2	2.66446	0
332.5	2.93613	0
335.8	3.1267	0
339.1	3.33145	0
342.4	3.56156	0
345.7	3.82242	0
349	4.12621	0
352.3	4.39276	0
355.6	4.62613	0
358.9	4.90933	0
362.2	5.23169	0
365.5	5.50499	0
368.8	5.81613	0
424.9	9.45153	0
428.2	9.45834	0
431.5	9.40267	0
434.8	9.48589	0
438.1	9.42883	0
457.9	9.6379	0
467.8	9.55992	0
481	9.5785	0
484.3	9.58687	0
487.6	9.53941	0
490.9	9.56644	0
494.2	9.52349	0
500.8	9.74275	0
517.3	9.54406	0
520.6	9.44285	0
523.9	9.51325	0
527.2	9.6786	0
530.5	9.92356	0
533.8	10.1647	0
537.1	10.4093	0
540.4	10.6435	0
543.7	10.9208	0
547	11.1426	0
550.3	11.4251	0
553.6	11.7198	0
556.9	11.9907	0
560.2	12.2525	0
563.5	12.5872	0
566.8	12.8356	0
570.1	13.0962	0
573.4	13.3798	0
576.7	13.6408	0
