Distance (nm)	Force (pN)	ForceErr (pN)
249.996	0.515638	0.0176094
255.997	0.589308	0.0249152
258.996	0.58606	0.0220092
261.996	0.682965	0.0249108
264.997	0.64091	0.0176184
270.996	0.769631	0.0211962
273.996	0.816715	0.022743
276.995	0.802264	0.0201659
279.995	0.857006	0.028093
282.995	0.902056	0.0204011
285.994	0.928517	0.0212819
288.995	1.00545	0.0189808
291.995	1.06102	0.017119
294.994	1.13857	0.0171094
297.994	1.20663	0.016666
300.994	1.29148	0.0228903
306.995	1.44059	0.0140967
309.996	1.56364	0.0156504
312.996	1.66769	0.0137259
315.995	1.75605	0.0142121
318.996	1.90434	0.0190692
321.996	2.02776	0.0137389
324.996	2.13113	0.00896891
330.995	2.50292	0.0177204
333.995	2.68345	0.0145891
336.994	2.84729	0.0106809
339.994	3.04275	0.0172522
342.995	3.22534	0.0144914
345.994	3.47328	0.0192236
348.994	3.67398	0.0204166
351.994	3.95917	0.0227017
354.993	4.14182	0.0208628
357.994	4.39503	0.0178091
360.994	4.67579	0.0261098
363.995	4.95421	0.0236484
366.996	5.18413	0.0243651
369.997	5.48926	0.023281
372.997	5.75599	0.0218971
375.998	6.07281	0.0246798
378.998	6.34282	0.019826
381.998	6.6782	0.0271017
384.998	6.9679	0.0245389
387.997	7.28285	0.0298918
390.997	7.68935	0.0382507
396.996	8.27019	0.0342644
399.996	8.6608	0.0345333
402.996	9.02312	0.0326685
405.995	9.31465	0.0319905
447.996	13.0997	0.0744457
450.996	13.1956	0.029834
453.996	13.2065	0.0527902
462.996	13.1848	0.0554929
477.995	13.1813	0.0715366
480.995	12.1542	0.112466
483.996	12.3832	0.0977933
486.996	12.1569	0.0405123
489.996	12.3542	0.0234032
492.996	12.6237	0.0193563
495.997	12.9377	0.0207388
498.996	13.2483	0.0191273
501.996	13.5721	0.0197558
504.996	13.8776	0.0204435
507.995	14.1601	0.0216493
510.995	14.4742	0.0255151
513.995	14.8002	0.0286645
516.994	15.1568	0.0268377
519.995	15.5271	0.0193894
522.996	15.8684	0.0207458
525.995	16.1926	0.0260848
528.995	16.5321	0.0212867
531.995	16.8702	0.0255889
534.996	17.2495	0.0260321
537.996	17.6294	0.0247951
540.996	17.9774	0.0249888
543.996	18.3471	0.022254
