Distance (nm)	Force (pN)	ForceErr (pN)
251.997	0.596138	0.0212546
253.997	0.49717	0.0143941
255.997	0.573363	0.0143671
257.998	0.605915	0.0159053
259.998	0.632197	0.0136157
261.997	0.634132	0.0123832
265.998	0.73694	0.0184191
267.997	0.757167	0.0109231
271.998	0.825178	0.0254426
273.998	0.80801	0.0240243
275.997	0.851696	0.0107004
277.997	0.941511	0.0123852
281.997	0.947269	0.015513
283.998	0.993965	0.0149404
285.997	1.01998	0.0137199
287.997	1.09456	0.0134447
289.998	1.16087	0.0107632
291.998	1.22801	0.0166121
293.998	1.24512	0.0160078
295.998	1.28007	0.0113584
297.998	1.38727	0.0140723
301.998	1.4435	0.00529429
303.998	1.53363	0.00672217
305.998	1.67284	0.0114799
307.997	1.76949	0.012359
309.997	1.83621	0.0178525
311.998	1.88958	0.0145638
313.998	1.99347	0.00610844
315.998	2.05168	0.0101876
317.998	2.15001	0.0136756
319.997	2.25913	0.0102082
321.997	2.34546	0.0146513
323.997	2.47015	0.00991187
325.998	2.61855	0.0162278
327.998	2.69895	0.00863082
329.997	2.81231	0.0100135
331.997	3.01613	0.0050192
333.997	3.09026	0.00584262
335.997	3.2461	0.0135523
337.998	3.39088	0.00655256
339.998	3.5027	0.0151457
341.998	3.65661	0.0101134
343.997	3.79305	0.0126091
345.997	3.95604	0.00731082
347.997	4.11594	0.01155
349.998	4.25393	0.00888628
351.998	4.43386	0.00687054
353.997	4.59052	0.00616749
355.997	4.7842	0.0117546
357.997	4.91843	0.0128572
359.998	5.10775	0.0102453
361.998	5.25121	0.00691048
363.998	5.47965	0.0113627
365.998	5.62359	0.0114436
367.998	5.80291	0.0105328
369.998	5.98222	0.00728753
371.997	6.15276	0.0102251
373.998	6.35262	0.00351317
375.998	6.5365	0.00812847
407.997	8.65731	0.05911
409.997	8.71764	0.0726407
411.998	8.55364	0.0187236
413.998	8.71998	0.020386
415.997	8.857	0.00652677
417.997	9.09854	0.0182426
419.997	9.21866	0.0142885
421.998	9.39887	0.0109585
423.998	9.60164	0.00768364
425.997	9.78259	0.010643
427.997	9.96995	0.0107369
429.997	10.1845	0.0109007
431.998	10.3689	0.0121594
433.998	10.5764	0.0116334
435.998	10.7888	0.0123446
437.998	10.9897	0.00934819
439.998	11.2008	0.00898228
441.998	11.4073	0.00658166
443.997	11.6217	0.00789747
445.998	11.8299	0.0113201
447.998	12.0401	0.0105272
