Distance (nm)	Force (pN)	ForceErr (pN)
259.998	0.697115	0.0170256
264.999	0.787235	0.0290819
267.499	0.833615	0.019507
269.998	0.86103	0.0334348
272.588	1.67271	0.367331
274.999	0.960506	0.0139674
277.498	0.976366	0.00834474
279.998	1.04186	0.0111138
282.499	1.09134	0.0109986
284.999	1.14273	0.0106075
287.498	1.20107	0.0144906
289.998	1.27731	0.0139348
292.498	1.31123	0.0185324
294.999	1.37894	0.0106135
297.498	1.46014	0.0143134
299.998	1.55398	0.0119205
302.498	1.59876	0.0135395
304.998	1.7132	0.0104348
307.499	1.7737	0.0127406
309.998	1.87559	0.0110435
312.498	1.96193	0.0123176
314.999	2.08183	0.0104915
317.499	2.20227	0.0108553
319.998	2.29235	0.0105628
322.498	2.42482	0.0104197
324.999	2.54596	0.00765272
327.498	2.65678	0.0085631
329.998	2.81322	0.00882307
332.499	2.98579	0.0096902
334.999	3.12615	0.0095344
337.498	3.26706	0.00911154
339.998	3.41823	0.00902673
342.498	3.62151	0.0097358
344.998	3.79632	0.00813943
347.498	3.96049	0.0110378
349.999	4.13418	0.00695163
352.499	4.33243	0.0094659
354.998	4.54982	0.00840824
357.498	4.73829	0.00944054
359.998	4.9315	0.010125
362.498	5.15236	0.00923297
364.998	5.35599	0.00719572
367.498	5.57757	0.00909721
369.998	5.7913	0.00893821
372.498	6.00508	0.00905101
374.998	6.2293	0.00975738
377.498	6.46953	0.00903879
379.998	6.68305	0.00883894
382.498	6.91114	0.0101241
432.498	9.75488	0.0624943
434.998	9.48635	0.0643694
437.498	9.45816	0.0285558
439.998	9.59708	0.00874653
442.498	9.79894	0.00819243
444.998	10.033	0.00923746
447.499	10.2244	0.00707577
449.998	10.4501	0.00842319
452.498	10.6642	0.00872477
454.999	10.9033	0.00755772
457.498	11.1359	0.00731266
459.998	11.3704	0.00690322
462.498	11.6008	0.007731
464.999	11.8267	0.00603711
467.499	12.0703	0.00658071
469.998	12.3108	0.00676674
472.498	12.5428	0.00753658
474.998	12.7861	0.00864227
477.498	13.0422	0.00832466
479.998	13.2803	0.00847775
482.498	13.5267	0.00797819
484.999	13.7738	0.00829332
487.499	14.0278	0.00939848
489.998	14.2799	0.00829382
492.498	14.5256	0.00866069
494.998	14.7681	0.00810611
497.498	15.0307	0.00916364
