Distance (nm)	Force (pN)	ForceErr (pN)
252.397	1.12195	0.0135242
254.798	1.16793	0.0192082
257.197	1.17353	0.0124151
259.598	1.2514	0.0149229
261.998	1.26551	0.011874
266.798	1.44887	0.0169267
269.198	1.51397	0.0167689
271.597	1.55019	0.0144185
273.997	1.62742	0.0153757
276.398	1.67116	0.0164464
278.798	1.79854	0.00806501
281.198	1.82163	0.0151225
283.598	1.91911	0.0112432
285.998	2.12541	0.0218895
290.798	2.23171	0.00980602
293.198	2.28205	0.0168492
295.598	2.35659	0.0204623
300.398	2.62731	0.0133207
302.798	2.69811	0.012184
305.198	2.8548	0.0162187
307.598	2.97443	0.014891
309.998	3.08784	0.0200418
312.398	3.2346	0.0172012
314.798	3.34148	0.0131933
317.198	3.49495	0.0111946
319.598	3.64491	0.0160361
321.998	3.80151	0.0162694
324.397	3.92357	0.0143294
326.797	4.10224	0.0102467
329.198	4.2327	0.0158
331.597	4.49537	0.0133335
333.998	4.62529	0.0152051
336.398	4.79689	0.0164212
338.797	4.98053	0.0171453
341.198	5.14565	0.0092937
343.598	5.33548	0.0123949
345.998	5.51357	0.0120802
348.397	5.73263	0.0157336
350.797	5.96811	0.00818697
353.197	6.1869	0.00981644
355.598	6.36935	0.0114966
357.998	6.57898	0.0115584
360.398	6.80416	0.0112685
362.798	7.02164	0.0139491
365.198	7.25238	0.0127766
367.598	7.49783	0.0108656
369.998	7.70154	0.00957781
372.397	7.90766	0.0104504
374.798	8.19471	0.0138883
377.198	8.40355	0.0132429
379.598	8.66078	0.0147341
381.998	8.88348	0.0131636
384.398	9.12267	0.0137831
386.798	9.38008	0.0154605
389.198	9.62505	0.0095003
391.598	9.87919	0.0119068
432.397	12.3129	0.0488638
434.798	12.5172	0.0452521
437.198	11.9873	0.0358294
439.598	12.1278	0.0407173
441.998	12.2882	0.0470064
444.398	12.354	0.0202031
446.798	12.5646	0.0184005
449.198	12.7285	0.00947844
451.597	12.9845	0.0126095
453.998	13.2189	0.0110043
456.398	13.4621	0.0121574
458.798	13.6927	0.00961075
461.198	13.9338	0.0103258
463.598	14.1727	0.00910538
465.998	14.426	0.00799028
468.398	14.688	0.0113779
470.798	14.9305	0.0122499
473.197	15.2074	0.00922268
475.598	15.4448	0.0108114
477.998	15.7137	0.0108172
480.397	15.9739	0.0108374
482.797	16.2155	0.0111447
485.198	16.5001	0.0130796
487.597	16.7375	0.0129977
