Distance (nm)	Force (pN)	ForceErr (pN)
249.999	0.612181	0.0136123
252.399	0.64436	0.0124764
254.799	0.616569	0.0124019
257.199	0.708509	0.0143811
259.599	0.71741	0.0137097
261.999	0.764946	0.0111934
264.399	0.820347	0.0152247
269.199	0.841611	0.00951794
271.599	0.953085	0.0123542
273.999	0.936307	0.00992128
276.399	0.984202	0.0107992
278.799	1.04262	0.0114974
281.199	1.10797	0.0111985
283.599	1.13424	0.0143523
285.999	1.1618	0.00953136
288.399	1.26992	0.0114808
290.799	1.36012	0.0161854
293.199	1.38973	0.0113097
295.599	1.50477	0.0137382
297.999	1.54167	0.0125646
300.399	1.59709	0.00953201
302.799	1.68331	0.0121068
305.199	1.8275	0.0102553
307.599	1.89043	0.0110543
309.999	2.02906	0.0121857
312.399	2.13522	0.00838714
314.799	2.25821	0.0100407
317.199	2.38862	0.00961606
319.599	2.50207	0.0100324
321.999	2.6501	0.00876233
324.399	2.80082	0.0125461
326.799	2.99356	0.00641234
329.199	3.11245	0.00932535
331.599	3.27436	0.01469
333.999	3.45361	0.0107263
336.399	3.61325	0.0135904
338.799	3.80536	0.0130671
341.199	3.99219	0.0109032
343.599	4.167	0.0112488
345.999	4.41276	0.0133592
348.399	4.59846	0.0117804
350.799	4.77058	0.0135244
353.199	4.98637	0.0169242
355.599	5.20931	0.0116415
357.999	5.4346	0.0125034
360.399	5.66799	0.013166
362.799	5.8875	0.0129731
365.199	6.12519	0.0142573
367.599	6.36273	0.0158394
369.999	6.57717	0.0145554
417.999	9.24929	0.0327181
420.399	9.12177	0.020521
422.799	9.15512	0.0191653
425.199	9.26654	0.0125416
427.599	9.4857	0.0120841
429.999	9.70252	0.0114219
432.399	9.92065	0.0142251
434.799	10.1621	0.0112583
437.199	10.3955	0.0115542
439.599	10.6305	0.0110606
441.999	10.8812	0.0127388
444.399	11.1267	0.01251
446.799	11.367	0.0142281
449.199	11.6174	0.0127679
451.599	11.8612	0.0147784
453.999	12.1185	0.0145052
456.399	12.3591	0.0139237
458.799	12.6	0.0153206
461.199	12.8684	0.0135851
463.599	13.1135	0.0143796
465.999	13.3665	0.0155939
468.399	13.6202	0.0123785
470.799	13.8818	0.0125251
473.199	14.1319	0.015839
475.599	14.3923	0.014072
477.999	14.6597	0.0149326
480.399	14.9164	0.0129524
482.799	15.1781	0.0143388
