Distance (nm)	Force (pN)	ForceErr (pN)
249.999	0.385316	0.00981724
254.999	0.420263	0.0138499
257.499	0.406718	0.0157024
262.499	0.478862	0.00788465
267.499	0.436526	0.024497
272.499	0.555952	0.0156108
274.999	0.554439	0.0105857
279.999	0.619296	0.020888
282.499	0.689103	0.0140799
284.999	0.681907	0.00909905
287.499	0.753397	0.0174263
292.498	0.813798	0.0157613
294.999	0.845707	0.0130074
299.999	0.927322	0.0115726
302.499	0.97806	0.0163185
304.999	1.07174	0.0141064
307.499	1.16965	0.0184034
309.999	1.26097	0.0196039
312.499	1.27713	0.0145463
314.999	1.36055	0.0137645
322.499	1.62697	0.0149646
324.999	1.64939	0.00751909
329.998	1.91022	0.00796731
332.499	1.96389	0.0101788
334.999	2.1367	0.0142134
337.499	2.21377	0.00892324
339.999	2.36098	0.00856839
342.499	2.45934	0.018182
344.999	2.58665	0.0136093
347.499	2.73516	0.0171253
349.999	2.87538	0.0158511
352.498	3.0446	0.0159563
354.999	3.22224	0.0145946
357.499	3.36266	0.0207468
362.499	3.59627	0.0180522
364.999	3.86454	0.0170059
367.499	4.01584	0.0164625
369.999	4.19313	0.0162394
372.498	4.37599	0.0152539
374.999	4.54086	0.0184935
377.499	4.69354	0.0262829
379.998	4.89979	0.0254059
382.499	5.08102	0.0188843
384.999	5.27877	0.0196291
387.499	5.43922	0.020311
389.999	5.68789	0.017187
392.499	5.86774	0.0136398
394.999	6.09459	0.0138635
397.499	6.28723	0.013147
399.999	6.52123	0.0122799
402.499	6.72062	0.011151
449.999	9.10009	0.0493247
452.499	8.8391	0.0250184
454.999	8.98576	0.0628288
457.499	8.99116	0.0449583
459.999	9.07133	0.00616727
462.499	9.25321	0.0160213
464.999	9.45724	0.00750904
467.499	9.61293	0.00887773
469.999	9.81046	0.0136045
472.499	10.0198	0.0101497
477.499	10.4294	0.0101762
479.999	10.6402	0.00967792
482.499	10.8383	0.00844679
484.999	11.0539	0.00742227
487.499	11.2412	0.00844842
489.999	11.4437	0.00834737
492.499	11.6607	0.0101248
494.999	11.8922	0.00708547
497.499	12.0913	0.00900284
