Distance (nm)	Force (pN)	ForceErr (pN)
249.998	0.680828	0.0148228
255.397	0.786477	0.0150007
258.097	0.809111	0.00989329
260.798	0.893346	0.01339
263.498	0.88105	0.0189148
266.197	0.962028	0.00901326
268.897	0.991085	0.0174602
271.598	1.01576	0.0192826
276.997	1.02559	0.0355217
279.697	1.04966	0.0356355
282.398	1.2281	0.0262947
287.797	1.28046	0.021533
295.897	1.49546	0.0229151
301.297	1.66127	0.0147245
303.998	1.6878	0.0102855
306.698	1.72836	0.0100355
309.398	1.80919	0.0114809
312.098	1.95077	0.00905068
320.198	2.28723	0.0111173
322.897	2.40457	0.0116588
325.597	2.53859	0.00890254
328.298	2.73923	0.020195
333.697	3.04805	0.0107771
336.396	3.21422	0.0156415
339.098	3.31398	0.0138745
341.798	3.50505	0.020796
344.497	3.68055	0.0188715
347.197	3.80661	0.0118371
349.897	4.01452	0.0180509
352.598	4.20022	0.0140622
355.298	4.41456	0.0122449
357.998	4.57661	0.0129953
360.698	4.80636	0.0121036
363.398	4.97505	0.0147868
366.098	5.18504	0.00956358
368.797	5.4218	0.0154117
371.498	5.66447	0.013227
374.198	5.82853	0.0100522
376.897	6.08633	0.0138725
379.597	6.28378	0.0112084
387.698	6.97091	0.00604588
390.397	7.20462	0.0121592
393.097	7.4331	0.0100227
395.797	7.67402	0.010989
398.498	7.94274	0.00851977
401.197	8.1757	0.0110629
403.897	8.40394	0.00411992
406.597	8.66703	0.0041761
414.698	9.43664	0.00514739
422.798	10.1457	0.0145937
452.498	12.2911	0.0583067
460.598	12.4945	0.0717166
463.298	12.0012	0.237147
468.697	11.6821	0.0826004
471.398	11.6714	0.0125796
474.097	11.9371	0.0129346
476.798	12.1415	0.012498
479.498	12.4475	0.0114544
484.897	12.9679	0.00555066
487.598	13.2026	0.0144775
490.298	13.433	0.0161321
492.997	13.6966	0.0180743
495.696	13.9665	0.00869031
501.098	14.4664	0.0126158
503.798	14.7117	0.0117123
506.497	14.969	0.0108553
509.197	15.2925	0.0144345
511.898	15.5241	0.0159862
514.598	15.8072	0.00551741
517.298	16.0709	0.0101406
