Distance (nm)	Force (pN)	ForceErr (pN)
252.497	0.721813	0.0211722
254.997	0.755695	0.00190215
259.998	0.786255	0.0193647
267.498	0.899235	0.00621662
272.498	0.951775	0.0103837
277.497	1.02674	0.0159563
279.998	1.11282	0.0141903
282.498	1.25467	0.0197331
284.997	1.23709	0.0225898
289.997	1.46465	0.0181481
292.496	1.57011	0.00621562
294.997	1.59269	0.0169342
299.998	1.73948	0.0145954
302.497	1.89201	0.0059873
304.998	2.00715	0.0174
307.498	1.98325	0.0106816
314.998	2.37211	0.0271628
317.497	2.56726	0.0102849
319.998	2.63203	0.00799659
322.497	2.80296	0.0142498
324.997	2.95174	0.0132076
327.498	3.14805	0.0173866
329.998	3.2148	0.0164088
332.498	3.46912	0.00322622
334.997	3.52312	0.0172864
337.498	3.71062	0.023975
339.997	3.90631	0.0105479
344.998	4.24266	0.0297216
347.497	4.43224	0.0115039
349.997	4.62762	0.0167224
354.998	5.01301	0.0119474
357.497	5.2135	0.0274793
359.998	5.39359	0.0197996
362.497	5.62145	0.0175396
364.996	5.83649	0.0208491
367.498	6.08715	0.0320211
372.498	6.5073	0.020132
374.998	6.69661	0.00960786
377.498	6.95149	0.0113462
379.997	7.14239	0.0142784
429.997	10.4212	0.0905527
434.997	10.0996	0.0908528
437.497	10.041	0.0301079
439.998	10.1346	0.0339667
442.498	10.2615	0.0188696
444.997	10.4444	0.0293849
447.497	10.6725	0.0193101
449.999	10.848	0.0186871
452.498	11.1334	0.00648395
454.998	11.3096	0.0198518
457.498	11.5363	0.00529228
459.997	11.7929	0.00787535
462.497	11.9903	0.0111572
464.997	12.2435	0.00902602
467.498	12.4621	0.0182378
469.998	12.7466	0.0159607
472.498	12.9494	0.016468
474.998	13.2127	0.00798332
479.997	13.6984	0.00948758
482.497	13.9196	0.0133025
484.998	14.1606	0.016224
487.498	14.4057	0.022797
489.998	14.6425	0.0242684
492.497	14.9002	0.0136446
494.997	15.1357	0.00530877
497.498	15.3894	0.010583
