Distance (nm)	Force (pN)	ForceErr (pN)
249.997	0.90371	0.0141789
255.197	1.13229	0.00722663
257.797	1.09162	0.0310031
262.998	1.15706	0.0236264
268.198	1.27607	0.0222575
270.797	1.36329	0.0160834
273.397	1.39958	0.0137487
275.998	1.43352	0.048324
281.196	1.57319	0.0269373
283.798	1.71835	0.0443816
286.398	1.76982	0.00744848
288.997	1.92362	0.042077
291.597	1.86753	0.0285633
296.797	2.12926	0.0132684
301.997	2.43707	0.00357396
304.598	2.47279	0.0178052
307.198	2.63859	0.0138663
309.797	2.755	0.00692257
312.397	2.95173	0.0182656
314.998	3.09522	0.00292027
317.597	3.23002	0.0131733
320.197	3.35159	0.0210425
322.799	3.5355	0.00700445
325.398	3.71668	0.0213834
327.997	3.89836	0.0343614
330.598	4.04054	0.0130178
333.197	4.26924	0.01454
335.797	4.52782	0.0260545
338.398	4.7224	0.00272932
340.997	4.88843	0.00849562
343.596	5.09992	0.00799953
346.198	5.29404	0.0158204
348.798	5.5332	0.00186706
351.397	5.69135	0.000422415
353.998	5.93191	0.0130249
359.197	6.38315	0.00120972
361.797	6.61012	0.000503856
364.398	6.87486	0.0054821
366.998	7.13001	0.0236618
369.598	7.36342	0.0038314
372.197	7.57272	0.00596426
374.798	7.80963	0.00508946
377.398	8.12307	0.0198034
379.997	8.34002	0.00163746
382.597	8.60994	0.000881253
385.198	8.8225	0.00964334
390.397	9.33325	0.0146986
392.998	9.55339	0.0215193
395.598	9.84488	0.00216624
398.197	10.0673	0.00400545
447.598	11.8638	0.0335793
450.197	12.5826	0.0657784
452.797	12.5758	0.0830797
455.399	12.5949	0.0136328
457.998	12.9124	0.00470014
460.597	13.1166	0.0137181
463.198	13.406	0.0353683
465.797	13.6138	0.0159624
468.396	13.8589	0.0291579
473.598	14.4118	0.0165428
476.197	14.6831	0.026355
478.798	14.8855	0.0365141
481.398	15.1626	0.0243136
483.997	15.4448	0.0194232
486.597	15.717	0.03654
491.797	16.26	0.0206104
496.997	16.7711	0.0379922
499.598	17.0336	0.024175
502.198	17.2833	0.0373054
504.797	17.5913	0.0254775
507.397	17.8092	0.0278316
