Distance (nm)	Force (pN)	ForceErr (pN)
255	0.422583	0.125584
259.25	0.455743	0.0175413
263.5	0.477911	0.0225343
276.25	0.602511	0.0200024
280.5	0.645572	0.0229114
289	0.770316	0.0212682
293.25	0.862878	0.0213673
297.5	0.931652	0.0193191
301.75	1.0247	0.0228233
306	1.15896	0.0190453
310.25	1.26974	0.0141533
314.5	1.39311	0.0182235
318.75	1.56428	0.0204591
323	1.73471	0.0242742
327.25	1.91635	0.0247308
331.5	2.13465	0.0206708
335.75	2.34646	0.0167714
340	2.58544	0.013642
344.25	2.82646	0.0172666
348.5	3.11715	0.0203708
352.75	3.41374	0.022047
357	3.71588	0.0195455
361.25	4.02347	0.0181463
365.5	4.35663	0.018409
369.75	4.68871	0.0153307
374	5.02799	0.011724
378.25	5.38354	0.0113718
382.5	5.73916	0.00927366
480.25	10.0108	0.0297957
493	9.98856	0.0228861
497.25	9.94534	0.0254665
501.5	9.93158	0.0300479
505.75	9.93663	0.0206945
510	9.97875	0.0331871
514.25	9.96836	0.0240861
531.25	9.90585	0.014366
535.5	9.89332	0.0204156
544	9.80822	0.0254654
548.25	9.75016	0.0397576
552.5	9.77106	0.0128844
556.75	9.81012	0.0183769
561	9.83459	0.0151369
565.25	9.9118	0.010769
582.25	9.81548	0.0216607
586.5	9.71151	0.0112472
590.75	9.76381	0.0140983
595	9.95199	0.022357
599.25	10.2045	0.0175673
603.5	10.456	0.0195414
607.75	10.7362	0.0254476
612	11.0143	0.0164837
616.25	11.29	0.0203832
620.5	11.577	0.0174105
624.75	11.869	0.0154738
629	12.1722	0.0120953
633.25	12.4792	0.0135714
637.5	12.7698	0.0194558
641.75	13.0915	0.0218436
646	13.3797	0.022345
650.25	13.7044	0.0217626
654.5	14.0123	0.0279669
658.75	14.3423	0.0272458
663	14.6699	0.0260589
667.25	14.9919	0.0276211
671.5	15.3174	0.0282472
675.75	15.6449	0.0342027
